,ride_id,seat_number,payment_method,payment_receipt,travel_date,travel_time,travel_from,travel_to,car_type,max_capacity,Year,Month,Day,Hour,Minutes,number_of_ticket
0,1442,15A,Mpesa,UZUEHCBUSO,2017-10-17,7:15,9,Nairobi,0,49,2017,10,17,7,15,1
1,5437,14A,Mpesa,TIHLBUSGTE,2017-11-19,7:12,9,Nairobi,0,49,2017,11,19,7,12,1
2,5710,8B,Mpesa,EQX8Q5G19O,2017-11-26,7:05,4,Nairobi,0,49,2017,11,26,7,5,1
3,5777,19A,Mpesa,SGP18CL0ME,2017-11-27,7:10,1,Nairobi,0,49,2017,11,27,7,10,5
4,5778,11A,Mpesa,BM97HFRGL9,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
5,5777,18B,Mpesa,B6PBDU30IZ,2017-11-27,7:10,1,Nairobi,0,49,2017,11,27,7,10,5
6,5777,14A,Mpesa,MZHGDGS6QZ,2017-11-27,7:10,1,Nairobi,0,49,2017,11,27,7,10,5
7,5778,25,Mpesa,MYVTYFNXDZ,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
8,5778,21B,Mpesa,TE1WYK1NYE,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
9,5781,22A,Mpesa,VGG7Q3MVJX,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
10,5781,18B,Mpesa,YJ7JFHOGKA,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
11,5781,17B,Mpesa,4JQOSC881A,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
12,5784,1X,Mpesa,3OPU23FHRB,2018-04-20,5:10,7,Nairobi,1,11,2018,4,20,5,10,1
13,5789,1X,Mpesa,BPRX4UMFFN,2018-04-20,9:50,7,Nairobi,1,11,2018,4,20,9,50,1
14,5778,3A,Mpesa,JDD4ZL64LP,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
15,5790,1B,Mpesa,DC8ABRSXXK,2018-04-20,7:06,7,Nairobi,0,49,2018,4,20,7,6,2
16,5791,1,Mpesa,HGQURN0SZS,2018-04-20,6:00,7,Nairobi,1,11,2018,4,20,6,0,1
17,5792,1,Mpesa,8D9V8HK2FC,2018-04-20,5:50,7,Nairobi,1,11,2018,4,20,5,50,1
18,5793,1,Mpesa,TTZQDYZHAB,2018-04-20,10:58,7,Nairobi,1,11,2018,4,20,10,58,1
19,5790,4A,Mpesa,F8VBKYCXPL,2018-04-20,7:06,7,Nairobi,0,49,2018,4,20,7,6,2
20,5794,1,Mpesa,ETNVCDEZLR,2018-04-20,6:50,7,Nairobi,1,11,2018,4,20,6,50,2
21,5781,18A,Mpesa,KP4YUALFXF,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
22,5778,23A,Mpesa,YZJOJQ3NA3,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
23,5795,1,Mpesa,VIRXVJUIYX,2018-04-20,5:30,7,Nairobi,1,11,2018,4,20,5,30,1
24,5796,5,Mpesa,9CSSSQN2TN,2018-04-20,6:40,7,Nairobi,1,11,2018,4,20,6,40,2
25,5796,1,Mpesa,BC0SCWB6NU,2018-04-20,6:40,7,Nairobi,1,11,2018,4,20,6,40,2
26,5794,5,Mpesa,RKP8WWJZWH,2018-04-20,6:50,7,Nairobi,1,11,2018,4,20,6,50,2
27,5797,16B,Mpesa,PAHCAZCCYV,2017-11-27,7:06,4,Nairobi,0,49,2017,11,27,7,6,3
28,5798,8,Mpesa,E9VOECFN3N,2018-04-20,9:10,7,Nairobi,1,11,2018,4,20,9,10,1
29,5797,15B,Mpesa,WAXDMD6UAN,2017-11-27,7:06,4,Nairobi,0,49,2017,11,27,7,6,3
30,5800,1X,Mpesa,CIBMZGHZMB,2018-04-19,5:00,7,Nairobi,1,11,2018,4,19,5,0,2
31,5801,10,Mpesa,850RJSQX3R,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
32,5781,19A,Mpesa,FQCTDRN1LT,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
33,5802,3,Mpesa,VA9WZVBIKT,2017-11-27,10:52,4,Nairobi,1,11,2017,11,27,10,52,3
34,5802,1X,Mpesa,KOE16REETR,2017-11-27,10:52,4,Nairobi,1,11,2017,11,27,10,52,3
35,5801,9,Mpesa,ODECBCFRYU,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
36,5801,8,Mpesa,ORNBOX9AWQ,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
37,5800,1,Mpesa,CKC15RQNWJ,2018-04-19,5:00,7,Nairobi,1,11,2018,4,19,5,0,2
38,5801,7,Mpesa,4KQ16PRWJW,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
39,5802,9,Mpesa,Z80X8YLAAD,2017-11-27,10:52,4,Nairobi,1,11,2017,11,27,10,52,3
40,5801,6,Mpesa,POKZIETAKP,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
41,5801,5,Mpesa,PS254MLKFP,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
42,5801,4,Mpesa,EVVTXE1EWL,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
43,5803,10,Mpesa,YT1MAORM4I,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
44,5801,3,Mpesa,RIYKNYRA4R,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
45,5801,2,Mpesa,G9OZFJY4NC,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
46,5801,1,Mpesa,OOTYQP3TIJ,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
47,5801,1X,Mpesa,TBJMRMKQLJ,2018-04-19,5:20,7,Nairobi,1,11,2018,4,19,5,20,11
48,5803,7,Mpesa,HL2AXIBBLE,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
49,5781,20A,Mpesa,LLYH4A55XX,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
50,5803,9,Mpesa,713WAFLVIH,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
51,5781,21B,Mpesa,N8WSXZIJXH,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
52,5804,7,Mpesa,KYTDYIPMAM,2017-11-27,10:50,4,Nairobi,1,11,2017,11,27,10,50,1
53,5803,8,Mpesa,9ZGZK4I0AC,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
54,5803,5,Mpesa,DQTIQCNWYK,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
55,5803,6,Mpesa,76B7T8OKBP,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
56,5803,3,Mpesa,0KAQ3YNL3S,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
57,5803,4,Mpesa,VOOQFZBOMR,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
58,5803,1,Cash,MDJ2WT47WI,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
59,5803,2,Mpesa,UKQB3YEGU4,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
60,5777,15B,Mpesa,7C7P3D5AJQ,2017-11-27,7:10,1,Nairobi,0,49,2017,11,27,7,10,5
61,5803,1X,Mpesa,PSRDQX9ODU,2018-04-19,5:10,7,Nairobi,1,11,2018,4,19,5,10,11
62,5777,16B,Mpesa,P013NWHQID,2017-11-27,7:10,1,Nairobi,0,49,2017,11,27,7,10,5
63,5778,9A,Mpesa,F7JWUFQ6SD,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
64,5781,22B,Mpesa,DH4N6WAAWO,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
65,5781,25,Mpesa,0JQ0ZZLUMI,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
66,5781,23B,Mpesa,IOEJGXJ3HJ,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
67,5781,24A,Mpesa,DP7LOX778I,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
68,5808,2B,Mpesa,2LUZM25U6P,2018-04-19,7:06,7,Nairobi,0,49,2018,4,19,7,6,2
69,5808,1B,Mpesa,787CTFABOV,2018-04-19,7:06,7,Nairobi,0,49,2018,4,19,7,6,2
70,5809,1,Mpesa,H4PDSUYGWF,2018-04-19,10:51,7,Nairobi,1,11,2018,4,19,10,51,1
71,5810,1,Mpesa,MEH7ZZ4VPS,2018-04-19,7:15,7,Nairobi,1,11,2018,4,19,7,15,1
72,5781,1B,Mpesa,VRNDLYLUG9,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
73,5811,1,Mpesa,XI3UCFVKQE,2018-04-19,8:20,7,Nairobi,1,11,2018,4,19,8,20,1
74,5812,1,Mpesa,FATYHWY6AI,2018-04-19,5:30,7,Nairobi,1,11,2018,4,19,5,30,1
75,5781,2B,Mpesa,MSJ98CJ30N,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
76,5816,1,Mpesa,YXWPDYABRE,2018-04-18,5:10,7,Nairobi,1,11,2018,4,18,5,10,1
77,5797,13B,Mpesa,RY86WHSJSK,2017-11-27,7:06,4,Nairobi,0,49,2017,11,27,7,6,3
78,5817,1,Cash,MDI9WF254L,2018-04-18,5:00,7,Nairobi,1,11,2018,4,18,5,0,1
79,5781,9A,Mpesa,HQ8O4RAK8O,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
80,5822,1B,Mpesa,KLMOXO1CVX,2018-04-18,7:06,7,Nairobi,0,49,2018,4,18,7,6,1
81,5823,1,Mpesa,PK7FKXJIUF,2018-04-18,6:40,7,Nairobi,1,11,2018,4,18,6,40,2
82,5823,9,Mpesa,YTVSAL2OHD,2018-04-18,6:40,7,Nairobi,1,11,2018,4,18,6,40,2
83,5824,1,Mpesa,6O8NZPYZND,2018-04-18,8:20,7,Nairobi,1,11,2018,4,18,8,20,1
84,5825,1B,Mpesa,AE3D3O6RXV,2018-04-18,19:03,7,Nairobi,0,49,2018,4,18,19,3,1
85,5826,1,Mpesa,7XFGXSR0JN,2018-04-18,5:30,7,Nairobi,1,11,2018,4,18,5,30,1
86,5781,24B,Mpesa,67VCHU9I42,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
87,5781,13B,Mpesa,DAB6BFCPW7,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
88,5781,14B,Mpesa,BZUTNE0QPS,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
89,5830,1,Mpesa,ZAYOGUSOUP,2018-04-17,5:20,7,Nairobi,1,11,2018,4,17,5,20,1
90,5778,24B,Mpesa,JXQXWWGB36,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
91,5778,23B,Mpesa,N1ATVDL4AC,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
92,5781,20B,Mpesa,CVEAOTNBHV,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
93,5781,19B,Mpesa,SU5JYZPJKN,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
94,5834,1B,Mpesa,AG6X5GA8QE,2018-04-17,7:02,7,Nairobi,0,49,2018,4,17,7,2,1
95,5835,1X,Mpesa,QSNDBIXZP3,2018-04-17,6:40,7,Nairobi,1,11,2018,4,17,6,40,2
96,5836,1,Mpesa,3XIDAY71U3,2018-04-17,6:50,7,Nairobi,1,11,2018,4,17,6,50,1
97,5837,3A,Mpesa,TYDXDTBWKH,2018-04-17,7:06,7,Nairobi,0,49,2018,4,17,7,6,1
98,5835,1,Mpesa,JOJKPAYLSS,2018-04-17,6:40,7,Nairobi,1,11,2018,4,17,6,40,2
99,5838,9,Mpesa,LYMKG9DII7,2018-04-17,6:30,7,Nairobi,1,11,2018,4,17,6,30,1
100,5839,1,Mpesa,AMNRBVRGSW,2018-04-17,7:20,7,Nairobi,1,11,2018,4,17,7,20,1
101,5840,1,Mpesa,MOKGNRJILS,2018-04-17,5:30,7,Nairobi,1,11,2018,4,17,5,30,1
102,5781,10A,Mpesa,6DFFBV9IOS,2017-11-27,7:09,1,Nairobi,0,49,2017,11,27,7,9,26
103,5844,1X,Mpesa,KEGVUBRNJJ,2018-04-16,5:10,7,Nairobi,1,11,2018,4,16,5,10,1
104,5845,1,Mpesa,XZFLJDPXXC,2018-04-16,5:00,7,Nairobi,1,11,2018,4,16,5,0,1
105,5778,13B,Mpesa,Q34QDMZSYV,2017-11-27,7:12,9,Nairobi,0,49,2017,11,27,7,12,31
106,5849,1B,Mpesa,5X70KXOHAV,2018-04-16,7:06,7,Nairobi,0,49,2018,4,16,7,6,1
107,5850,1B,Mpesa,1DJNMONXDX,2018-04-16,7:04,7,Nairobi,0,49,2018,4,16,7,4,1
